"paper","dataset_name","dataset_type","official_path","events_total","events_used","collision_energy_tev","generator","doi","size_bytes","notes"
"heavy_dimuon_resonance","DYToMuMu_M-20_CT10_TuneZ2star_v2_8TeV","Simulated MC","/DYToMuMu_M-20_CT10_TuneZ2star_v2_8TeV/AODSIM","","","8","POWHEGBox v1.0 + Pythia v.6.4.26","","","Drell-Yan to muon pairs, σ×BR = 1916 pb NNLO, CT10 PDFs, Z2* tune"
"heavy_dimuon_resonance","TTJets_FullLeptMGDecays_8TeV-madgraph","Simulated MC","/TTJets_FullLeptMGDecays_8TeV-madgraph/AODSIM","","3.5±2.0","8","MadGraph5 aMC@NLO v5.1.3.30 + Pythia v.6.4.26","","","Top quark pairs, σ×BR = 23.89 pb NLO, CT10 PDFs, Z2* tune"
"heavy_dimuon_resonance","WWJetsTo2L2Nu_TuneZ2star_8TeV-madgraph-tauola","Simulated MC","/WWJetsTo2L2Nu_TuneZ2star_8TeV-madgraph-tauola/AODSIM","","1.5±1.3","8","MadGraph5 aMC@NLO v5.1.3.30 + Pythia v.6.4.26","","","WW diboson production, σ×BR = 5.8 pb NLO, CT10 PDFs, Z2* tune"
"heavy_dimuon_resonance","WZJetsTo3LNu_8TeV_TuneZ2Star-madgraph-tauola","Simulated MC","/WZJetsTo3LNu_8TeV_TuneZ2Star-madgraph-tauola/AODSIM","","0.2±0.4","8","MadGraph5 aMC@NLO v5.1.3.30 + Pythia v.6.4.26","","","WZ diboson production, σ×BR = 1.1 pb NNLO, CT10 PDFs, Z2* tune"
"heavy_dimuon_resonance","ZZTo4mu_8TeV-powheg-pythia6","Simulated MC","/ZZTo4mu_8TeV-powheg-pythia6/AODSIM","","0.001±0.034","8","POWHEGBox v1.0 + Pythia v.6.4.26","","","ZZ to 4 muons, σ×BR = 0.077 pb NLO, CT10 PDFs, Z2* tune"
"heavy_dimuon_resonance","Mono-Z' Dark Higgs Signal Samples","Simulated MC","","","2.9±1.8","8","MadGraph5 aMC@NLO v2.6.7 + PYTHIA v.6.4.26","","","Dark Higgs scenario, MZ'=150-700 GeV, Mχ=1-200 GeV, gSM=0.25, gDM=1.0, NNPDF2.3QED NLO PDFs"
"heavy_dimuon_resonance","Mono-Z' EFT Signal Samples","Simulated MC","","","21.8±7.0","8","MadGraph5 aMC@NLO v2.6.7 + PYTHIA v.6.4.26","","","EFT scenario, MZ'=450 GeV, Λ=1.0-5.0 TeV, NNPDF2.3QED NLO PDFs"
"jet_classification","QCD Dijet Production","Simulated MC","/QCD/Run2012*/AOD","null","933206","8","Pythia6 with Z2* tune","10.7483/OPENDATA.CMS.B8MR.Q2V6","null","Generated invariant pT range 90-170 GeV, includes underlying event and run-dependent pileup (PU = 18-21), balanced sampling across Run2012AB/C/D periods"
"traverse_momentum","DoubleMu Run2011A","Real Data","/DoubleMu/Run2011A-12Oct2013-v1/AOD","6241576","2961681","7","N/A (Real Data)","10.7483/OPENDATA.CMS.RZ34.QR6N","null","CMS11a, 2.11 fb-1, HLT_Mu13_Mu8 trigger"
"traverse_momentum","DYMC Low Mass","Simulated MC","/DYJetsToLL_M-10To50_TuneZ2_7TeV-pythia6/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","null","null","7","Pythia 6 with tune Z2","10.7483/OPENDATA.CMS.T8RZ.D52D","null","Drell-Yan 10-50 GeV mass range"
"traverse_momentum","ZMC High Mass","Simulated MC","/DYJetsToLL_TuneZ2_M-50_7TeV-madgraph-tauola/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","null","null","7","MadGraph 5 v1.1.0 with Pythia 6.4.25","10.7483/OPENDATA.CMS.TXT4.4RRP","null","Z-pole Monte Carlo sample >50 GeV"
"traverse_momentum","DY+1Jets","Simulated MC","/DY1JetToLL_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","null","null","7","MadGraph with Pythia","10.7483/OPENDATA.CMS.U6JT.SMMC","null","DY+1 jet, 10-50 GeV mass"
"traverse_momentum","DY+2Jets","Simulated MC","/DY2Jets_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","null","null","7","MadGraph with Pythia","10.7483/OPENDATA.CMS.4G5S.44WQ","null","DY+2 jets, 10-50 GeV mass"
"traverse_momentum","DY+3Jets","Simulated MC","/DY3Jets_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","null","null","7","MadGraph with Pythia","10.7483/OPENDATA.CMS.D5KD.U5MR","null","DY+3 jets, 10-50 GeV mass"
"traverse_momentum","DY+4Jets","Simulated MC","/DY4Jets_M-10To50_TuneZ2_7TeV-madgraph/Summer11LegDR-PU_S13_START53_LV6-v1/AODSIM","null","null","7","MadGraph with Pythia","10.7483/OPENDATA.CMS.UUG7.4NHT","null","DY+4 jets, 10-50 GeV mass"
"Unisolated_Upsilons","DoubleMuon 2016","Real Data","/DoubleMuon/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD","","","13","N/A (Real Data)","10.7483/OPENDATA.CMS.UZD7.Z50M","","Run 2016, 8.7 fb-1, proton-proton collisions, HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx trigger, MuonTightID criteria, anti-isolated Upsilon analysis"
